depArr,distance,angle_error,distance_long,operation_mode,angle_sum,QDepDep,QDepArr,QArrDep,QArrArr,Ndep,Narr,NDepDep,NDepArr,NArrDep,NArrArr,Pressure,VisibilityInMeters,TemperatureInCelsius,WindSpeedInMPS,isRain,isSnow,isDrizzle,isFog,isMist,isHaze,isHail,budget,aircraft_weight,AvgSpdLast5Dep,AvgSpdLast5Arr,AvgSpdLast5,AvgSpdLast10Dep,AvgSpdLast10Arr,AvgSpdLast10,TaxiTime
0,3604.635258,2,3057.602584,1,523.13,0,0,0,0,0,0,0,0,0,0,30,8000,17,9.2664,0,0,0,0,0,0,0,2,2,322.68139,433.7841108,391.209184,348.9612648,429.6747644,378.2327504,9.938966667
0,3804.500589,2,3349.691178,1,346.92,0,6,0,0,0,0,0,0,0,0,30.15,10000,16,5.148,0,0,0,0,0,0,0,2,3,368.1905801,425.6293225,484.6725526,413.6659469,455.853684,441.0836808,9.916666667
1,4109.58864,0,1973.738126,1,820.45,0,0,0,1,0,0,0,0,0,0,30.3,10000,12,4.6332,0,0,0,0,0,0,0,2,3,251.5040111,408.0752535,394.6221321,251.6212974,415.3638676,409.1689817,9.883333333
0,2656.212345,2,1833.940898,0,375.54,0,0,0,0,0,0,0,0,0,0,30.12,10000,13,8.2368,0,0,0,0,0,0,0,2,3,321.293143,479.1542086,462.4895024,300.9611506,471.5759384,400.2236758,9.815633333
0,2896.884886,2,1833.940898,0,377.82,0,0,0,0,0,0,0,0,0,0,29.97,10000,21,5.6628,0,0,0,0,0,0,0,2,3,268.4290049,404.0042043,358.6467744,228.9388567,410.4407071,369.1555093,9.716666667
1,3676.350948,0,2103.062794,1,787.72,0,0,0,1,0,0,0,0,0,0,30.09,10000,20,3.6036,0,0,0,0,0,0,0,2,3,221.8755806,449.0059104,449.0059104,222.3112886,445.128772,445.128772,9.62265
1,2949.12818,0,2016.796074,0,509.55,0,0,0,0,0,0,0,0,0,0,30.09,10000,18,2.0592,0,0,0,0,0,0,0,2,3,318.2869581,410.1810496,370.3059843,337.9496666,424.2272103,352.4769981,9.583333333
0,2897.585585,2,2124.478679,0,376.08,0,1,0,0,0,0,0,0,0,0,30.15,10000,17,3.6036,0,0,0,0,0,0,0,2,3,364.2902431,424.769706,424.769706,368.9158669,438.9662438,425.8538063,9.566666667
1,3339.78401,0,2790.128828,1,471.25,0,0,0,0,0,0,0,0,0,0,29.94,10000,18,5.6628,0,0,0,0,0,0,0,2,3,382.4374505,478.7678929,440.8605933,375.0202853,475.9414364,450.7205545,9.266666667
1,3587.474901,0,2111.061297,1,633.15,0,0,0,1,0,0,0,0,0,0,30.15,10000,19,1.5444,0,0,0,0,0,0,0,2,3,274.1285332,471.3792772,471.3792772,245.7710903,445.1953062,395.3334002,9.233333333
1,3153.898234,0,1057.885884,1,1017.49,0,0,0,1,0,0,0,0,0,0,29.91,6000,19,2.574,0,0,0,0,0,0,0,2,3,268.267183,425.021496,403.7639679,323.2634631,419.6244278,399.2453553,9.11355
1,3713.35547,0,1973.738126,1,821.69,0,0,0,1,0,0,0,0,0,0,30.12,5000,19,2.574,0,0,0,0,0,0,0,2,3,271.7256175,408.631508,386.8030483,244.3721649,431.9669459,417.0673483,9.083333333
1,2294.638824,0,973.1808406,1,378.3,0,0,0,0,0,0,0,0,0,0,30.06,10000,18,4.6332,0,0,0,0,0,0,0,2,3,225.1575589,371.7344544,371.7344544,225.1575589,359.8403052,359.8403052,9.041783333
1,4386.758418,0,2497.954378,1,829.97,0,0,0,1,0,0,0,0,0,0,30.09,10000,17,5.6628,0,0,0,0,0,0,0,2,3,367.7362523,460.8633402,460.8633402,395.1755618,424.4432992,429.6457396,9.027633333
1,3309.129762,0,2703.32457,1,390.47,0,0,0,1,0,0,0,0,0,0,30.09,10000,17,5.148,0,0,0,0,0,0,0,2,3,367.7362523,436.3911461,440.3576105,395.1755618,423.6245411,406.8688968,8.871083333
0,2587.547597,0,1833.940898,0,311.65,0,0,0,0,0,0,0,0,0,0,30.09,10000,17,8.2368,0,0,0,0,0,0,0,2,3,262.7160856,523.0946312,523.0946312,230.0247605,498.9882412,472.9263441,8.816666667
1,3317.665257,0,2426.118254,1,505.67,0,0,0,3,0,0,0,0,0,0,30.27,9000,15,4.1184,0,0,0,0,0,0,0,2,3,238.2665353,513.4125072,513.4125072,265.4958916,447.7197095,447.7197095,8.77665
0,2702.389179,0,1833.940898,0,312.11,0,0,0,0,0,0,0,0,0,0,30.12,10000,18,3.6036,0,0,0,0,0,0,0,2,3,379.5538438,479.3415929,479.3415929,373.1073494,477.3653828,442.272896,8.666666667
1,3319.332208,0,2111.061297,1,567.08,0,0,1,0,0,0,0,0,0,0,30.36,10000,18,5.6628,0,0,0,0,0,0,0,2,3,326.1946227,422.4073238,352.9164672,305.7358969,468.5862724,346.7516393,8.649816667
1,3720.071352,0,1057.885884,2,905.14,0,0,0,0,0,0,0,0,0,0,30.24,10000,16,5.6628,0,0,0,0,0,0,0,2,3,291.0236056,456.2782208,420.3992588,288.8079553,448.5932917,408.5575455,8.55
